Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
34.49,34.55,34.0,34.27,3554300.0,0.0,1.0,34.49,34.55,34.0,34.27,3554300.0
34.63,34.71,33.78,34.01,5018400.0,0.0,1.0,34.63,34.71,33.78,34.01,5018400.0
34.0,35.18,33.81,35.0,7342200.0,0.0,1.0,34.0,35.18,33.81,35.0,7342200.0
35.23,35.34,34.99,35.28,4933000.0,0.0,1.0,35.23,35.34,34.99,35.28,4933000.0
35.1,35.2,34.62,34.82,5276100.0,0.0,1.0,35.1,35.2,34.62,34.82,5276100.0
34.68,34.92,34.5,34.9,3807300.0,0.0,1.0,34.68,34.92,34.5,34.9,3807300.0
34.75,34.93,34.57,34.6,3013000.0,0.0,1.0,34.75,34.93,34.57,34.6,3013000.0
34.6,35.0,34.36,34.6,3253100.0,0.0,1.0,34.6,35.0,34.36,34.6,3253100.0
34.4,34.64,33.66,34.63,6197200.0,0.0,1.0,34.4,34.64,33.66,34.63,6197200.0
34.35,34.71,34.15,34.3,4125100.0,0.0,1.0,34.35,34.71,34.15,34.3,4125100.0
34.26,34.5,33.88,33.97,4178400.0,0.0,1.0,34.26,34.5,33.88,33.97,4178400.0
33.96,34.0,33.02,33.02,5985000.0,0.0,1.0,33.96,34.0,33.02,33.02,5985000.0
32.9,33.58,32.84,33.0,6917000.0,0.0,1.0,32.9,33.58,32.84,33.0,6917000.0
33.18,33.37,32.01,32.78,6619400.0,0.0,1.0,33.18,33.37,32.01,32.78,6619400.0
33.1,33.76,32.9,33.25,9215500.0,0.0,1.0,33.1,33.76,32.9,33.25,9215500.0
33.5,33.89,32.89,33.67,7694700.0,0.0,1.0,33.5,33.89,32.89,33.67,7694700.0
33.49,33.63,32.91,33.04,6392000.0,0.0,1.0,33.49,33.63,32.91,33.04,6392000.0
33.13,33.59,33.05,33.53,4245400.0,0.0,1.0,33.13,33.59,33.05,33.53,4245400.0
33.32,33.98,32.58,32.71,13969300.0,0.0,1.0,33.32,33.98,32.58,32.71,13969300.0
30.84,31.74,30.6,31.72,29312900.0,0.0,1.0,30.84,31.74,30.6,31.72,29312900.0
31.66,32.92,31.63,32.52,14472800.0,0.0,1.0,31.66,32.92,31.63,32.52,14472800.0
32.86,32.89,31.52,32.36,10523500.0,0.0,1.0,32.86,32.89,31.52,32.36,10523500.0
32.3,33.28,32.1,33.1,9098000.0,0.0,1.0,32.3,33.28,32.1,33.1,9098000.0
32.94,33.56,32.89,33.21,6777900.0,0.0,1.0,32.94,33.56,32.89,33.21,6777900.0
33.35,34.12,33.27,33.96,7756600.0,0.0,1.0,33.35,34.12,33.27,33.96,7756600.0
33.96,34.18,33.59,33.96,4616900.0,0.0,1.0,33.96,34.18,33.59,33.96,4616900.0
34.24,34.69,34.14,34.52,6713500.0,0.0,1.0,34.24,34.69,34.14,34.52,6713500.0
34.4,34.8,34.25,34.64,4431600.0,0.0,1.0,34.4,34.8,34.25,34.64,4431600.0
34.4,34.47,34.02,34.23,5475000.0,0.0,1.0,34.4,34.47,34.02,34.23,5475000.0
34.3,34.51,33.65,33.82,6048000.0,0.0,1.0,34.3,34.51,33.65,33.82,6048000.0
